source,run_id,model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,cache_unsplit_tokens,reported_cost_usd,billing_mode,retries,calls
aet_run,aetrun_22653eccb894_450ab4_003,claude-sonnet-4-6,8,24,0,163408,,2.165946,,,1
aet_run,aetrun_22653eccb894_450ab4_005,claude-sonnet-4-6,8,16,12943,162688,,1.785904,,,1
aet_run,aetrun_834b6267e8c7_450ab4_006,claude-sonnet-4-6,2,8,12943,57499,,0.762228,,,1
aet_run,aetrun_ed15b7f5d6d8_5ebcc8_001,claude-opus-4-8,8,9,48304,24082,,0.28014,,,1
aet_run,aetrun_f17d7ef86d52_450ab4_002,claude-sonnet-4-6,2,8,12943,58000,,0.848005,,,1
aet_run,aetrun_1ae85f5337c2_003,claude-opus-4-8,4,10,93607,72156,,1.114854,,,1
aet_run,aetrun_2f940c935692_006,claude-opus-4-8,4,11,92189,68298,,0.951677,,,1
aet_run,aetrun_32e740606bdc_002,claude-opus-4-8,2,3,13192,66850,,1.06026,,,1
aet_run,aetrun_37422f49724e_007,claude-opus-4-8,2,3,13192,66053,,0.895553,,,1
aet_run,aetrun_d9a97eae8b7f_004,claude-opus-4-8,2,2,13192,81067,,1.50688,,,1
aet_run,aetrun_e2fd6fadf8d3_001,claude-opus-4-8,6,9,174291,92990,,1.574823,,,1
aet_run,aetrun_e5243c6ac9e7_005,claude-opus-4-8,2,8,13192,69051,,1.511601,,,1
aet_run,aetrun_1365826283a4_450ab4_004,claude-sonnet-4-6,2,8,12951,52481,,0.546139,,,1
aet_run,aetrun_35aaede5dbfc_450ab4_001,claude-sonnet-4-6,5,8,0,177597,,1.415524,,,1
aet_run,aetrun_91c97d0fcfa6_450ab4_003,claude-sonnet-4-6,2,8,12951,53038,,0.699434,,,1
aet_run,aetrun_d395076896e3_450ab4_002,claude-sonnet-4-6,2,8,12951,53023,,0.636228,,,1
aet_run,aetrun_1898a5fc26fa_5bcd68_007,claude-opus-4-6,2,8,13370,58156,,0.86186,,,1
aet_run,aetrun_3a17b0d4581b_5bcd68_011,<synthetic>,0,0,0,0,,0.0,,,1
aet_run,aetrun_3a17b0d4581b_5bcd68_012,<synthetic>,0,0,0,0,,0.0,,,1
aet_run,aetrun_3a17b0d4581b_5bcd68_013,<synthetic>,0,0,0,0,,0.0,,,1
aet_run,aetrun_4d454338b2e0_5bcd68_004,claude-opus-4-6,2,8,13370,56836,,0.724035,,,1
aet_run,aetrun_5462e4f03aa4_5bcd68_001,claude-opus-4-6,2,9,0,82311,,1.734019,,,1
aet_run,aetrun_5462e4f03aa4_5bcd68_005,claude-opus-4-6,2,9,13370,68941,,1.590966,,,1
aet_run,aetrun_5462e4f03aa4_5bcd68_009,claude-opus-4-6,2,9,0,82311,,1.558294,,,1
aet_run,aetrun_546d309f9d99_5bcd68_003,claude-opus-4-6,2,8,13370,56871,,0.702954,,,1
aet_run,aetrun_6758d4402508_5bcd68_006,claude-opus-4-6,2,9,0,72979,,1.203809,,,1
aet_run,aetrun_7272d0598bf9_5bcd68_010,claude-opus-4-6,2,9,0,72798,,1.466247,,,1
aet_run,aetrun_7b481c90229a_5bcd68_002,claude-opus-4-6,2,9,0,72913,,1.248541,,,1
aet_run,aetrun_9919af58de5b_5bcd68_008,claude-opus-4-6,2,9,13370,57748,,1.16052,,,1
aet_run,aetrun_ed15b7f5d6d8_5ebcc8_001,claude-opus-4-8,10,58,79864,16056,,0.22157,,,1
results_jsonl,atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,claude-sonnet-4-6,243175,100431,12943,230222,,2.6712084,per_token,0,1
results_jsonl,atlas-npu_b4_r1_mxu_r2_sonnet.e2570a32,claude-sonnet-4-6,463157,207279,0,463138,,5.1472125,per_token,0,1
results_jsonl,atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,claude-sonnet-4-6,246083,94575,25886,220187,,2.5481320499999995,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,claude-sonnet-4-6,82285,27722,0,82283,,1.55118875,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r1_sonnet.d90f5df7,claude-opus-4-6,591690,157956,12939,578735,,5.80389145,per_token,0,4
results_jsonl,atlas-npu_b2r_r1_mxu_r1_tiered.69a0e111,claude-opus-4-6,82189,26150,0,82187,,1.2362297500000001,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r1_v2_kappa.ed2f7dfd,claude-opus-4-8,94497,40126,13190,81305,,1.891432,subscription,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r2_haiku.b3da5251,claude-haiku-4-5-20251001,82207,14672,0,82198,,0.24491749999999998,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r2_opus.b8764446,claude-sonnet-4-6,82285,30764,0,82283,,1.6272387499999998,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r2_sonnet.4792e5a0,claude-opus-4-6,443760,127846,81864,361884,,4.1980097,per_token,0,2
results_jsonl,atlas-npu_b2r_r1_mxu_r2_tiered.33c1229d,claude-opus-4-6,82189,24265,0,82187,,1.18912475,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r2_v2_kappa.fd423ae5,claude-opus-4-8,201646,49778,188990,12652,,1.534112,subscription,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r3_haiku.9a64ac5b,claude-haiku-4-5-20251001,82207,20250,0,82198,,0.27283749999999996,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r3_opus.0c335472,claude-sonnet-4-6,82285,31067,0,82283,,1.6348637499999998,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r3_sonnet.39fff8a3,claude-opus-4-6,372570,99851,0,372560,,3.6249135,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r3_tiered.ce2137d3,claude-opus-4-6,82189,24942,0,82187,,1.2060547499999998,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r3_v2_kappa.44144305,<synthetic>,435834,93548,214083,221741,,4.9058075,subscription,0,4
results_jsonl,atlas-npu_b3_r1_mxu_r1_sonnet.534428fe,claude-sonnet-4-6,172105,69783,67142,104955,,1.58367885,per_token,0,1
results_jsonl,atlas-npu_b3_r1_mxu_r2_sonnet.7e9eb3ac,claude-sonnet-4-6,171792,72683,108357,63427,,1.48381335,per_token,0,1
results_jsonl,atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,claude-sonnet-4-6,173372,68545,54154,119210,,1.6146687,per_token,0,1
results_jsonl,atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,claude-sonnet-4-6,166296,66563,38817,127471,,1.6114033499999998,per_token,0,1
results_jsonl,atlas-npu_b4_r1_mxu_r2_sonnet.e2570a32,claude-sonnet-4-6,178478,66524,54183,124287,,1.60348815,per_token,0,1
results_jsonl,atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,claude-sonnet-4-6,167771,66252,162647,5116,,1.1850561,per_token,0,1
results_jsonl,atlas-npu_b5_r1_mxu_r1_sonnet.c3ac5d15,claude-sonnet-4-6,182992,56542,12939,170048,,1.6960197,per_token,0,1
results_jsonl,atlas-npu_b5_r1_mxu_r2_sonnet.3cbd4cec,claude-sonnet-4-6,265980,74840,245589,20383,,1.47903495,per_token,0,1
results_jsonl,atlas-npu_b5_r1_mxu_r3_sonnet.fef35dfa,claude-sonnet-4-6,271991,68579,25878,246105,,2.1656941499999998,per_token,0,1
results_jsonl,atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,claude-sonnet-4-6,108420,59452,25878,82537,,1.33234515,per_token,0,1
results_jsonl,atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,claude-sonnet-4-6,108420,57452,12939,95476,,1.3469847,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r1.be257d46,,513098,44583,0,0,,3.7499360000000004,,0,4
results_jsonl,atlas-npu_b2r_r1_mxu_r1_v1_tce.766b86da,,416244,68490,0,0,,4.8657105000000005,,0,4
results_jsonl,atlas-npu_b2r_r1_mxu_r1.be257d46,,81273,14082,0,0,,1.1153689999999998,,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r2.75082e2f,,164477,53017,0,0,,2.838545,,0,2
results_jsonl,,claude-haiku-4-5-20251001,19199,13663,0,19190,,0.0981175,per_token,,1
results_jsonl,,claude-haiku-4-5-20251001,19241,13208,13348,5884,,0.0805868,per_token,,1
results_jsonl,atlas-npu_b2r_r1_mxu_r1_haiku.b352235a,claude-haiku-4-5-20251001,82207,12085,0,82198,,0.23199749999999997,per_token,0,1
results_jsonl,atlas-npu_b0_r0_whole_r1_opus.f5f41dde,claude-opus-4-6,14469,489,0,14467,,0.10745375,per_token,0,1
results_jsonl,atlas-npu_b0_r0_whole_r1_sonnet.7f49cde2,claude-sonnet-4-6,14050,389,0,14048,,0.061401,per_token,0,1
results_jsonl,,claude-opus-4-6,19281,15627,0,19279,,0.53996375,per_token,,1
results_jsonl,,claude-opus-4-6,19323,20375,13364,5957,,0.58229325,per_token,,1
results_jsonl,,claude-opus-4-6,19572,32420,0,19570,,0.9630624999999999,per_token,,1
results_jsonl,,claude-opus-4-6,19572,32955,13364,6206,,0.8995944999999999,per_token,,1
results_jsonl,,claude-opus-4-6,19614,23423,0,19612,,0.7386099999999999,per_token,,1
results_jsonl,,claude-sonnet-4-6,57609,90033,38835,18766,,1.450686,per_token,,1
results_jsonl,,<synthetic>,77080,128000,0,77069,,2.22731175,per_token,,1
results_jsonl,,claude-sonnet-4-6,52815,88375,0,52807,,1.53702525,per_token,,1
results_jsonl,,claude-haiku-4-5-20251001,19494,17015,0,19485,,0.11553725,per_token,,1
results_jsonl,,claude-haiku-4-5-20251001,19536,16131,13352,6175,,0.09585695,per_token,,1
results_jsonl,,claude-opus-4-6,22038,27379,0,22036,,0.86483,per_token,,1
results_jsonl,,claude-opus-4-6,22783,28928,0,22781,,0.91191125,per_token,,1
results_jsonl,atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,claude-opus-4-6,82289,28875,7254,75033,,1.53837825,per_token,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r1.be257d46,,6,51781,0,0,,2.7748995,,0,1
results_jsonl,atlas-npu_b2r_r1_mxu_r2.75082e2f,,6,59373,0,0,,2.9585505000000003,,0,1
results_jsonl,atlas-npu_b3_r1_mxu_r1_sonnet.534428fe,claude-sonnet-4-6,108480,62701,0,108475,,1.4706502499999998,per_token,0,1
results_jsonl,atlas-npu_b3_r1_mxu_r2_sonnet.7e9eb3ac,claude-sonnet-4-6,108480,58627,0,108475,,1.40954025,per_token,0,1
results_jsonl,atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,claude-sonnet-4-6,167860,74797,0,167852,,1.8747779999999998,per_token,0,1
results_jsonl,atlas-npu_b6_r1_mxu_r1_sonnet.452f1fdc,claude-sonnet-4-6,391227,151391,25894,365316,,3.9539052,per_token,0,1
results_jsonl,atlas-npu_b7_r1_mxu_r1_sonnet.bff1e8b3,claude-sonnet-4-6,316678,128067,25894,290770,,3.3205107,per_token,0,1
results_jsonl,gemmini_b2r_r2_whole_r1_sonnet.fb38e0f4,claude-sonnet-4-6,375003,90516,38853,336139,,3.2973241499999997,per_token,0,4
results_jsonl,atlas-npu_b2r_r1_mxu_r1_opus.2d833e6b,claude-opus-4-6,295679,60301,26740,268931,,4.40954875,per_token,0,4
results_jsonl,atlas-npu_b2r_r1_mxu_r2_opus.b8764446,claude-opus-4-6,297942,78659,40110,257824,,4.817155,per_token,0,4
results_jsonl,atlas-npu_b2r_r1_mxu_r3_opus.0c335472,<synthetic>,155113,56589,0,155109,,3.0245412499999995,per_token,2,2
